------------------ (d) Results ----------------
Reflection coefficient |Γ| vs spacing d and height h

Minimum |Γ| = 0.009 at d/λ = 0.434, h/λ = 0.576

Matching points where |Γ| < 0.3:
  (d/λ,  h/λ)
  ----------------
  0.353   0.576
  0.353   0.596
  0.353   0.616
  0.374   0.576
  0.374   0.596
  0.374   0.616
  0.374   0.636
  0.394   0.556
  0.394   0.576
  0.394   0.596
  0.394   0.616
  0.394   0.636
  0.414   0.556
  0.414   0.576
  0.414   0.596
  0.414   0.616
  0.414   0.636
  0.434   0.535
  0.434   0.556
  0.434   0.576
  0.434   0.596
  0.434   0.616
  0.434   0.636
  0.454   0.515
  0.454   0.535
  0.454   0.556
  0.454   0.576
  0.454   0.596
  0.454   0.616
  0.454   0.636
  0.475   0.515
  0.475   0.535
  0.475   0.556
  0.475   0.576
  0.475   0.596
  0.475   0.616
  0.475   1.000
  0.495   0.495
  0.495   0.515
  0.495   0.535
  0.495   0.556
  0.495   0.576
  0.495   0.596
  0.495   0.980
  0.495   1.000
  0.515   0.475
  0.515   0.495
  0.515   0.515
  0.515   0.535
  0.515   0.556
  0.515   0.576
  0.515   0.939
  0.515   0.960
  0.515   0.980
  0.515   1.000
  0.535   0.454
  0.535   0.475
  0.535   0.495
  0.535   0.515
  0.535   0.535
  0.535   0.556
  0.535   0.919
  0.535   0.939
  0.535   0.960
  0.535   0.980
  0.535   1.000
  0.556   0.434
  0.556   0.454
  0.556   0.475
  0.556   0.495
  0.556   0.515
  0.556   0.535
  0.556   0.919
  0.556   0.939
  0.556   0.960
  0.556   0.980
  0.556   1.000
  0.576   0.414
  0.576   0.434
  0.576   0.454
  0.576   0.475
  0.576   0.495
  0.576   0.515
  0.576   0.535
  0.576   0.899
  0.576   0.919
  0.576   0.939
  0.576   0.960
  0.576   0.980
  0.576   1.000
  0.596   0.394
  0.596   0.414
  0.596   0.434
  0.596   0.454
  0.596   0.475
  0.596   0.495
  0.596   0.515
  0.596   0.899
  0.596   0.919
  0.596   0.939
  0.596   0.960
  0.596   0.980
  0.596   1.000
  0.616   0.374
  0.616   0.394
  0.616   0.414
  0.616   0.434
  0.616   0.454
  0.616   0.475
  0.616   0.495
  0.616   0.515
  0.616   0.899
  0.616   0.919
  0.616   0.939
  0.616   0.960
  0.616   0.980
  0.616   1.000
  0.636   0.374
  0.636   0.394
  0.636   0.414
  0.636   0.434
  0.636   0.454
  0.636   0.475
  0.636   0.495
  0.636   0.899
  0.636   0.919
  0.636   0.939
  0.636   0.960
  0.636   0.980
  0.636   1.000
  0.657   0.374
  0.657   0.394
  0.657   0.414
  0.657   0.434
  0.657   0.454
  0.657   0.475
  0.657   0.495
  0.657   0.899
  0.657   0.919
  0.657   0.939
  0.657   0.960
  0.657   0.980
  0.657   1.000
  0.677   0.374
  0.677   0.394
  0.677   0.414
  0.677   0.434
  0.677   0.454
  0.677   0.475
  0.677   0.899
  0.677   0.919
  0.677   0.939
  0.677   0.960
  0.677   0.980
  0.677   1.000
  0.697   0.374
  0.697   0.394
  0.697   0.414
  0.697   0.434
  0.697   0.454
  0.697   0.475
  0.697   0.919
  0.697   0.939
  0.697   0.960
  0.697   0.980
  0.717   0.374
  0.717   0.394
  0.717   0.414
  0.717   0.434
  0.717   0.454
  0.717   0.939
  0.717   0.960
  0.737   0.394
  0.737   0.414
  0.737   0.434
  0.737   0.454
  0.758   0.394
  0.758   0.414
  0.758   0.434
  0.919   0.596
  0.919   0.616
  0.919   0.636
  0.939   0.576
  0.939   0.596
  0.939   0.616
  0.939   0.636
  0.939   0.657
  0.960   0.556
  0.960   0.576
  0.960   0.596
  0.960   0.616
  0.960   0.636
  0.960   0.657
  0.980   0.535
  0.980   0.556
  0.980   0.576
  0.980   0.596
  0.980   0.616
  0.980   0.636
  1.000   0.515
  1.000   0.535
  1.000   0.556
  1.000   0.576
  1.000   0.596
  1.000   0.616
  1.000   0.636
Total matching points: 206
